Publication Year,Author,Author Reconciled,Title,Series,Publisher,Place,Library Collection,Call Number,Notes,Editors,Translator,Contributor,Edition
1927,"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938",Ideen Der Liebe.,,E. Diederichs,Jena,Swarthmore Peace Collection,HQ31.M35.,,,,,
1899,"Jordan, David Starr, 1851-1931.","Jordan, David Starr, 1851-1931","Imperial Democracy: A Study Of The Relation Of Government Of The People, Equality Before The Law, And Other Tenets Of Democracy, To The Demands Of A Vigorous Foreign Policy And Other Demands Of Imperial Dominion.",,D. Appleton and Co.,New York,Swarthmore Peace Collection,JV568 1899.J8.,,,,,
1915,"Kauffman, Reginald Wright, 1877-.","Kauffman, Reginald Wright, 1877-1959",In A Moment Of Time: Things Seen On The Bread-line Of Belgium.,,"Moffat, Yard and Co.",New York,Swarthmore Peace Collection,D541.K2.,,,,,
[1914],,,"In Memory Of Edwin Ginn, 1838-1914: Memorial Service At The South Congregational Church, Boston, Sunday, March 1, 1914, At Three O'clock.",,,[Boston],Swarthmore Peace Collection,JX1962.G6.,,,,,
1917,"Williams, Albert Rhys, 1883-1962.","Williams, Albert Rhys, 1883-1962.",In The Claws Of The German Eagle.,,E.P. Dutton & Co.,New York,Swarthmore Peace Collection,D640.W5.,"Inscribed: To Jane Addams with gratitude for such inspiration, Albert R Williams.",,,,
1922,"Trask, Katrina, 1853-1922.","Trask, Katrina, 1853-1922",In The Vanguard.,,The Macmillan Co.,New York,Swarthmore Peace Collection,JX1964.3.T6 1922.,,,,,
[1915],League to Enforce Peace (U.S.).,League to Enforce Peace (U.S.).,"Independence Hall Conference Held In The City Of Philadelphia, Bunker Hill Day (june 17th), 1915: Together With The Speeches Made At A Public Banquet In The Bellvue-stratford Hotel On The Preceding Evening.",,Printed by the League to Enforce Peace,New York City,Swarthmore Peace Collection,JX1908.U6 L4.,,,,,
1930,"King, Willford Isbell, 1880-1962.","King, Willford Isbell, 1880-1962",Index Numbers Elucidated.,,"Longmans, Green and Co.","New York, London",Swarthmore Peace Collection,HB225.K5.,,,,,
1919,"Redgrove, H. Stanley, 1887-1943.","Redgrove, H. Stanley (Herbert Stanley), 1887-1943","The Indictment Of War / Compiled From The Works Of The World's Greatest Minds, By H. Stanley Redgrove ... & Jeanne Rowbottom, Containing Many Passages From The Works Of Foreign Authors Now For The First Time Translated Into English.",,C.W. Daniel,London,Swarthmore Peace Collection,JX1937.R35.,,,,,
1923,"Peat, Harold Reginald, 1893-.","Peat, Harold Reginald 1893-1960","The Inexcusable Lie / By Harold R. Peat ("private Peat").""he Inexcusable ",,Barse & Hopkins],"New York, N.Y. ; Newark, N.J.",Swarthmore Peace Collection,JX1953.P4.,,,,,
[c1917],"Blymyer, William Hervey.","Blymyer, William Hervey","International Arbitration: The Isolation (or Non-intercourse) Plan, With A Proposed Convention.",,Press of F. Payne,[New York,Swarthmore Peace Collection,JX1963.B62.,Inscription: Miss Jane Addams with the compliments of the Author.,,,,
1919,,,International Economics.,,The American Academy of Political and Social Science,Philadelphia,Swarthmore Peace Collection,HC57.A7.,,,,,
[1925],,,International Educational Relations Of The U.S.,,American Council on Education,"Washington, D.C.",Swarthmore Peace Collection,LB2338.R6.,,"Robertson, David Allan",,,
1916,"Woolf, Leonard, 1880-1969.","Woolf, Leonard, 1880-1969","International Government: Two Reports By L.S. Woolf / Prepared For The Fabian Research Department, With An Introduction By Bernard Shaw; Together With A Project By A Fabian Committee For A Supernational Authority That Will Prevent War.",,Allen,London,Swarthmore Peace Collection,JX1975.W6.,,,,,
1921,International Labour Office.,International Labour Office.,The International Labour Organisation And The First Year Of Its Work.,,[Printed by Atar],Geneva,Swarthmore Peace Collection,HD7809.I76.,,,,,
1912,"Stein, Robert, 1857-.","Stein, Robert, 1857-1917",An International Police To Guarantee The World's Peace.,,Judd & Detweiler,"Washington, D.C.",Swarthmore Peace Collection,JX1963.S6.,,,,,
1911,"Eijkman, Pieter Hendrik, 1862-1914.","Eijkman, Pieter Hendrik, 1862-1914",L'internationalisme Scientifique (sciences Pures Et Lettres) / Par P.H. Eijkman ; Avec Un Avant-propos Du Professeur Paul S. Reinsch.,,[W. P. van Stockum],La Haye,Swarthmore Peace Collection,AS4.F7.,,,,,
1928,"Potter, Pitman B., 1892-.","Potter, Pitman Benjamin, 1892-1981",An Introduction To The Study Of International Organization.,,D. Appleton-Century Co.,New York ; London,Swarthmore Peace Collection,JX3160.P6 I5 1928.,,,,,
1920,"Holmes, John Haynes, 1879-1964.","Holmes, John Haynes, 1879-1964",Is Violence The Way Out Of Our Industrial Disputes?,,"Dodd, Mead and Co.",New York,Swarthmore Peace Collection,HD8072.H7.,,,,,
[1914],"Feiling, Keith Grahame, Sir, 1884-.","Feiling, Keith, 1884-1977",Italian Policy Since 1870.,,Oxford Univ. Press,London ; New York,Swarthmore Peace Collection,D639.P7 G7.,,,,,
[1919],"Lepsius, Johannes, 1858-1926.","Lepsius, Johannes, 1858-1926",Jesus At The Peace Conference: Minutes Of The Council Of Three.,,J. Lepsius,[The Hague,Swarthmore Peace Collection,JX1964.3.L6.,,,,,
1913,,,Judicial Settlement Of International Disputes.,,American Society for Judicial Settlement of International Disputes,Baltimore,Swarthmore Peace Collection,"JX1932.A6, v. 1913.",,,,,
1916,"Russell, Bertrand, 1872-1970.","Russell, Bertrand, 1872-1970.",Justice In War Time.,,The Open Court Publishing Co.,Chicago,Swarthmore Peace Collection,D523.R7.,,,,,
[1926],"Muegge, M.A.","Muegge, M.A.",Kew Gardens Adventures: Fairy Tales For Grown-ups.,,Daniel,London,Swarthmore Peace Collection,JX1964.1.M9.,"Inscription: Gift of W.I.L.P.F., Geneva, May 1941 ; To Miss Jane Addams of Chicago with compliments from M.A.",,,,
1927,"Beckstrom, Theodor, 1872-.","Beckstrom, Theodor, 1872-",The Key To Peace And The Freedom Of The Seven Seas.,,T. Beckstrom,"Philadelphia, Pa.",Swarthmore Peace Collection,JX1953.B38.,,,,,
1928,"Estey, James Arthur.","Estey, James Arthur.",The Labor Problem.,,McGraw-Hill book Co.,New York,Swarthmore Peace Collection,HD4854.E8.,,,,,
1925,"Furniss, Edgar S.","Furniss, Edgar S.",Labor Problems: A Book Of Materials For Their Study.,,"Houghton, Mifflin Co.","Boston, New York",Swarthmore Peace Collection,HD4901.F8.,,,,,
1929,"Kelchner, Warren H., 1895-.","Kelchner, Warren H., 1d 1895-",Latin American Relations With The League Of Nations.,,,Boston,Swarthmore Peace Collection,JX1975.5.S7.,,,,,
1928,"Mead, Lucia True Ames, 1856-1936.","Mead, Lucia True Ames, 1856-1936",Law Or War.,,"Doubleday, Doran & Co.","Garden City, N.Y.",Swarthmore Peace Collection,JX1952.M34.,,,,,
1912,"Dibblee, George Binney, 1868-.","Dibblee, George Binney","The Laws Of Supply And Demand, With Special Reference To Their Influence On Over-production And Unemployment.",,Constable and Co.,London,Swarthmore Peace Collection,HB171.D6.,,,,,
1908,"Suttner, Bertha von, 1843-1914.","Suttner, Bertha von 1843-1914",Lay Down Your Arms: The Autobiography Of Martha Von Tilling / By Bertha Von Suttner. Authorised Translation By T. Holmes.,,"Longmans, Green and Co.",London,Swarthmore Peace Collection,JX1964.1.S9 W622.,"Inscription: See Advocate of Peace 1893 140, 142 ; Bertha v. Suttner Chicago Nov. 1912.",,,,
[c1916],,,"Leading Opinions Both For And Against National Defense: A Symposium Of Opinions Of Eminent Leaders Of American Thought On The Subject Of Our Needs For National Defense / Collected And Arranged By Hudson Maxim; A Handbook And Guide For Debaters And Public Speakers, Presenting Both Sides Of The Question With Absolute Impartiality.",,Hearst's International Library Co.,[New York,Swarthmore Peace Collection,JX1997.M35.,,"Maxim, Hudson, 1853-1927",,,
1917-18,"Marburg, Theodore, 1862-1946.","Marburg, Theodore, 1862-1946",League Of Nations.,,The Macmillan Co.,New York,Swarthmore Peace Collection,JX1975.M36. Vols. 1 and 2.,,,,,
,"Seligman, Edwin R.A., 1861-1939.","Seligman, Edwin Robert Anderson, 1861-1939",The League Of Nations.,,,"New York, 1924.",Swarthmore Peace Collection,JX1975.S4.,,,,,
[1926],"Alexander, Horace Gundry, 1889-1989.","Alexander, Horace Gundry, 1889-1989",The League Of Nations And The Operation Of The Minority Treaties.,,Friends Book Center,London,Swarthmore Peace Collection,D655.A6.,,,,,
1911,"Apponyi, Albert, 1846-1933.","Apponyi, Albert, 1846-1933","Lectures On The Peace Problem And On The Constitutional Growth Of Hungary: Delivered In The United States And In Canada, By Count Albert Apponyi.",,St. Stephen's Printing Press Co.,Budapest,Swarthmore Peace Collection,JX1963.A765.,,,,,
1921,"Salomon, Alice, 1872-1948.","Salomon, Alice, 1872-1948",Leitfaden Der Wohfahrtspflege.,,B.E. Teubner,Leipzig ; Berlin,Swarthmore Peace Collection,HV40.S17.,Inscription: Jane Addams from Alice Salomon October 1921.,,,,
[1922],"Bausman, Frederick.","Bausman, Frederick, 1861-1931",Let France Explain.,,G. Allen & Unwin,London,Swarthmore Peace Collection,D516.B46.,,,,,
1927,"Dubois, Raphael, 1849-.","Dubois, Raphaël, 1849-1929",Lettres Sur Le Pacifisme Scientifique Et L'anticinese.,,Delpeuch,Paris,Swarthmore Peace Collection,JX1953.D8.,,,,,
1920,"Rolland, Romain, 1866-1944.","Rolland, Romain, 1866-1944.",Liluli / With Thirty-two Wood Engravings By Frans Masereel.,,Boni & Liveright,New York,Swarthmore Peace Collection,JX1964.3.R6.,,,,,
1918,"Bassett, John Spencer, 1867-1928.","Bassett, John Spencer, 1867-1928",The Lost Fruits Of Waterloo.,,The Macmillan Co.,New York,Swarthmore Peace Collection,D610.B35.,,,,,
1916,"Jones, Jenkin Lloyd, 1843-1918.","Jones, Jenkin Lloyd, 1843-1918","Love For The Battle-torn Peoples: Sermon-studies By Jenkin Lloyd Jones, Ll.D., For The Reinforcement Of Faith.",,Unity Publishing Co.,Chicago,Swarthmore Peace Collection,JX1965.5.J7.,,,,,
1929,"Kagawa, Toyohiko, 1888-1960.","Kagawa, Toyohiko, 1888-1960","Love, The Law Of Life, By Toyohiko Kagawa; Translated By J. Fullerton Gressitt, With A Foreword By Rufus M. Jones... And A Biography Of Mr. Kagawa By Eleanor M. Hinder And Helen F. Topping.",,The John C. Winston Co.,"Philadelphia, Chicago",Swarthmore Peace Collection,JX1962.K3.,,,,,
[1911?],"Carpenter, Edward, 1844-1929.","Carpenter, Edward, 1844-1929.",Love's Coming Of Age: A Series Of Papers On The Relations Of The Sexes.,,Kerr,Chicago,Swarthmore Peace Collection,HQ31.C3.,,,,,
1928,"Brewster, Harold Sydney, 1879-.","Brewster, Harold Sydney, 1879-",Madness Of War.,,Harper,New York ; London,Swarthmore Peace Collection,JX1953.B64.,,,,,
1915,Swiss Committee for the Study of the Principles of a Durable Treaty of Peace.,Swiss Committee for the Study of the Principles of a Durable Treaty of Peace.,Memorial Concerning The Principles Of A Durable Treaty Of Peace.,,TrÃ¶sch,Olten,Swarthmore Peace Collection,D613.S9.,,,,,
1928,"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938",Mensch Und Menschlichkeit.,,BraumÃ¼ller,Wien,Swarthmore Peace Collection,HN17.M4.,,,,,
1902,"Coit, Stanton, 1857-1944, compiler.","Coit, Stanton, 1857-1944, compiler.","The Message Of Man: A Book Of Ethical Scriptures, Gathered From Many Sources And Arranged By Stanton Coit, Ph.D.",,S. Sonnenschein and Co.,London,Swarthmore Peace Collection,BV4801.C55.,,,,,
[1914],"Raleigh, Walter Alexander, 1861-1922.","Raleigh, Walter Alexander, 1861-1922",Might Is Right.,,Oxford Univ. Press,London ; New York,Swarthmore Peace Collection,D639.P7 G7.,,,,,
1915,"Trask, Katrina, 1853-1922.","Trask, Katrina, 1853-1922",The Mighty And The Lowly.,,The Macmillan Co.,New York,Swarthmore Peace Collection,BT303.T7.,,,,,
1927,"Barnes, Roswell Parkhurst.","Barnes, Roswell Parkhurst, 1901-1990","Militarizing Our Youth: The Significance Of The Reserve Officers' Training Corps In Our Schools And Colleges / By Roswell P. Barnes, With An Introduction By John Dewey.",,Committee on Militarism in Education,New York,Swarthmore Peace Collection,JX1997.5.B3.,,,,,
[1917],American Union Against Militarism.,American Union Against Militarism.,"Military And Naval Training Of The Citizen Forces Of The U.S.: Tuesday, January 16, 1917. Statement Of Mr. Philip Schaefer [before The Senate Committee On Military Affairs].",,American Union Against Militarism,"Washington, D.C.",Swarthmore Peace Collection,JX1997.A3.,,,,,
[1920],,,"The Minstrelsy Of Peace: A Collection Of Notable Verse In The English Tongue, Relating To Peace And War, Ranging From The Fifteenth Century To The Present Day/ Collected, With Notes And An Introductory Essay On Poetry And War And Peace In English Poetry.",,National Labour Press Limited,Manchester and London,Swarthmore Peace Collection,JX1964.5.A1 G5.,,"Glasier, John Bruce, 1859-1920",,,
1927,"Bancroft, Edgar Addison, 1857-1925.","Bancroft, Edgar Addison","The Mission Of America, And Other War-time Speeches Of Edgar A. Bancroft / Edited By Frederic Bancroft, With An Introduction By John H. Finley.",,,"Washington, D.C.",Swarthmore Peace Collection,D509.B3.,,,,,
1924,,,Mobilising For Peace: Addresses Delivered At The Congress On America And The Permanent Court Of International Justice.,,Fleming H. Revell Co.,"New York, Chicago",Swarthmore Peace Collection,JX1937.L8.,"Inscription: Jane Addams Hull-House "the author"""nscription:","Lynch, Frederick Henry, 1867-1934",,,
[1929],Women's International League for Peace and Freedom. International Conference on Chemical Warfare (1929: Frankfurt am Main).,Women's International League for Peace and Freedom. International Conference on Chemical Warfare (1929: Frankfurt am Main).,"Die Modernen Kriegsmethoden Und Der Schutz Der ZivilbevÃ¶lkerung: Dokumente Der Internationalen Koferenz In Frankfurt Am Main, Am 4., 5. Und 6. / Januar, 1929.",,,[Stuttgart],Swarthmore Peace Collection,JX1954.W8 C43.,Inscription: [Inscribed to Jane Addams in German],,,,
[1927],"Wirt, Loyal Lincoln, 1863-.","Wirt, Loyal Lincoln, 1863-1961",The Moral Equivalent Of War.,,"Western Division, National Council for Prevention of War",San Francisco,Swarthmore Peace Collection,JX1953.W7.,,,,,
c1927,"Mayo, Katherine, 1868?-1940.","Mayo, Katherine, 1868?-1940",Mother India.,,"Harcourt, Brace",New York,Swarthmore Peace Collection,DS421.M4.,,,,,
1925,"Hughes, Gwendolyn Salisbury.","Hughes, Gwendolyn Salisbury",Mothers In Industry; Wage-earning By Mothers In Philadelphia.,,New Republic,New York,Swarthmore Peace Collection,HD6096.P5 H8.,,,,,
[1926],"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967",Must Britain Travel The Moscow Road? / By Norman Angell. With Special Reference To Leon Trotsky's Book: Where Is Britain Going?,,N. Douglas,London,Swarthmore Peace Collection,HC256.3.B7.,,,,,
1915,"Crozier, Alfred Owen.",Alfred Owen Crozier,Nation Of Nations: The Way To Permanent Peace; A Supreme Constitution For The Government Of Governments.,,Stewart & Kidd Co.,Cincinnati,Swarthmore Peace Collection,JX1953.C7.,,,,,
[1918],"MacDonald, James Ramsay, 1866-1937.","Macdonald, James Ramsay, 1866-1937",National Defence: A Study In Militarism.,,G. Allen & Unwin ltd.,London,Swarthmore Peace Collection,JX1997.M2.,,,,,
1915,"Young, George, 1872-.","Young, George, 1872-1952",Nationalism And War In The Near East / (by A Diplomatist); Edited By Lord Courtney Of Penwith.,,"Clarendon Press ; London, New York: H. Milford",Oxford,Swarthmore Peace Collection,DR46.Y6.,,,,,
1916,"Krehbiel, Edward B., b. 1878.","Krehbiel, Edward B. (Edward Benjamin), 1878-","Nationalism, War And Society: A Study Of Nationalism And Its Concomitant, War, In Their Relation To Civilization; And Of The Fundamentals And The Progress Of The Opposition To War / By Edward Krehbiel... With An Introduction By Norman Angell.",,The Macmillan Co.,New York,Swarthmore Peace Collection,JX1952.K8.,,,,,
1927,"Johnson, James Weldon, 1871-1938.","Johnson, James Weldon, 1871-1938",Native African Races And Culture.,,,"[Charlottesville, Va.]",Swarthmore Peace Collection,GN645.J55.,,,,,
1921,Fight the Famine Council.,Fight the Famine Council.,"The Needs Of Europe: Its Economic Reconstruction. A Report Of The International Economic Conference Called By The Fight The Famine Council And Held At Caxton Hall, Westminster, On The 11th, 12th, And 13th Of October, 1920.",,,London,Swarthmore Peace Collection,D648.F4.,,,,,
1918,"Brown, Mabel Webster.","Brown, Mabel Webster",Neuropsychiatry And The War: A Bibliography With Abstracts / Prepared By Mabel Webster Brown... Edited By Frankwood E. Williams.,,"War Work Committee, the National Committee for Mental Hygiene",New York City,Swarthmore Peace Collection,JX1997.B8.,,,,,
1918,"Brown, Mabel Webster.","Brown, Mabel Webster","Neuropsychiatry And The War: Supplement I, October 1918.",,"War Work Committee, the National Committee for Mental Hygiene",New York City,Swarthmore Peace Collection,JX1997.B8. Supp.,,,,,
[1918],"Duhamel, Georges, 1884-1966.","Duhamel, Georges, 1884-1966",The New Book Of Martyrs: From The French Of Georges Duhamel.,,W. Heinemann,London,Swarthmore Peace Collection,D640.D75.,,,,,
1916,"Toynbee, Arnold Joseph, 1889-1975.","Toynbee, Arnold Joseph, 1889-1975.",The New Europe: Some Essays In Reconstruction / By Arnold Toynbee ... With An Introduction By The Earl Of Cromer.,,J.M. Dent ; New York: E.P. Dutton & Co.,London and Toronto,Swarthmore Peace Collection,D610.T6.,,,,,
1918,"Faunce, William Herbert Perry, 1859-1930.","Faunce, William Herbert Perry, 1859-1930",The New Horizon Of State And Church.,,The Macmillan Co.,New York,Swarthmore Peace Collection,D639.R4 F3.,,,,,
1916,"Holmes, John Haynes, 1879-1964.","Holmes, John Haynes, 1879-1964","New Wars For Old, Being A Statement Of Radical Pacifism In Terms Of Force Versus Non-resistance, With Special Reference To The Facts And Problems Of The Great War.",,"Dodd, Mead and Co.",New York,Swarthmore Peace Collection,JX1952.H7.,,,,,
1923,"Eddy, Sherwood, 1871-1963.","Eddy, Sherwood, 1871-1963",The New World Of Labor.,,George H. Doran Co.,New York,Swarthmore Peace Collection,HD4854.E3.,,,,,
1907,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",Newer Ideals Of Peace.,,"The Macmillan Co. ; London: Macmillan & Co., ltd.",New York,Swarthmore Peace Collection,JX1952.A25.,,,,,
1907,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",Newer Ideals Of Peace.,,The Chautauqua Press,"Chautauqua, N.Y.",Swarthmore Peace Collection,JX1952.A25c.,,,,,
1921,"Irwin, Will, 1873-1948.","Irwin, Will, 1873-1948",""the Next War": An Appeal To Common Sense.""the Next War": An Appeal To Common Sense.""he Next War": An Appeal To C""e Next War": An "" Next",,E.P. Dutton & Co.,New York,Swarthmore Peace Collection,D523.I87.,,,,,
1925,,,"The Next War: Three Addresses Delivered At A Symposium At Harvard University, November 18, 1924, By Norris F. Hall, Zechariah Chafee, Jr., Manley O. Hudson.",,The Harvard Alumni Bulletin Press,"Cambridge, Mass.",Swarthmore Peace Collection,JX1953.N55.,,,,,
1928,"Woods, Amy.","Woods, Amy","Nicaragua And The U.S.: A Thorough, Authoritative Presentation Of The Political,economic, And Historical Phases Of The Nicaraguan Situation.",,U.S. Gov't. Print. Office,Washington,Swarthmore Peace Collection,F1526.W8.,,,,,
,"Blymyer, William Hervey.","Blymyer, William Hervey",Observations On Compulsory Arbitration And Disarmament Under Penalty Of Non-intercourse: Including A Plan For A Convention.,,,"[New York, 1907].",Swarthmore Peace Collection,JX1970.B6.,,,,,
1927,,,"Occupied Haiti: Being The Report Of A Committee Of Six Disinterested Americans Representing Organizations Exclusively American, Who, Having Personally Studied Conditions In Haiti In 1926, Favor The Restoration Of The Independence Of The Negro Republic / Edited By Emily Greene Balch.",,The Writers Publishing Company,New York,Swarthmore Peace Collection,F1926.B17.,Inscribed: Comp[liments] of the author E.G.B.,"Balch, Emily Greene",,,
1915,"Kehler, James Howard.","Kehler, James Howard",An Open Letter To The Nation With Regard To A Peace Plan.,,M. Kennerley,New York,Swarthmore Peace Collection,JX1963.K42.,,,,,
1929,"Murray, Gilbert, 1866-1957.","Murray, Gilbert, 1866-1957",The Ordeal Of This Generation.,,Harper,New York and London,Swarthmore Peace Collection,JX1952.M85.,,,,,
1927,National Council for Prevention of War (U.S.).,National Council for Prevention of War (U.S.).,Organizations In The United States That Promote International Understanding And World Peace.,,National Council for Prevention of War,Washington D.C.,Swarthmore Peace Collection,JX1908.U6 N55.,,,,,
1927,"Whipple, Leon, 1882-.","Whipple, Leon, 1882-",Our Ancient Liberties : The Story Of The Origin And Meaning Of Civil And Religious Liberty In The United States.,,H.W. Wilson,New York,Swarthmore Peace Collection,JC599.U5 W4.,,,,,
1915,"Maxwell, George Hebard, b. 1860.","Maxwell, George Hebard, b. 1860.",Our National Defense: The Patriotism Of Peace / By George H. Maxwell; The Fourth Book Of The Homecrofters.,,Rural Settlements Association,Washington ; New Orleans,Swarthmore Peace Collection,JX1997.M37.,,,,,
[1929],"Almond, David Moses, b. 1870.","Almond, David Moses, b. 1870.",Out Of Chaos.,,Schulman Bros. Press,Chicago,Swarthmore Peace Collection,JX1965.5.A4.,Inscribed: To the great worker for Human Fellowship this book is presented by David M Almond.,,,,
1917,,,"Out Of Their Own Mouths: Utterances Of German Rulers, Statesmen, Savants, Publicists, Journalists, Poets, Business Men, Party Leaders And Soldiers.",,Appleton,New York,Swarthmore Peace Collection,D515.O9.,,,,,
1927,"Morrison, Charles Clayton, b. 1874.","Morrison, Charles Clayton, 1874-1966",The Outlawry Of War: A Constructive Policy For World Peace... / With An Afterword By John Dewey.,,Willett,Chicago,Swarthmore Peace Collection,JX1952.M63 1927.,,,,,
[1921],"Levinson, Salmon Oliver, 1865-1941.","Levinson, Salmon Oliver, 1865-1941","Outlawry Of War. December 25, 1921.",,American Committee for the Outlawry of War,Chicago,Swarthmore Peace Collection,JX1953.L53.,,,,,
1900,"Ingram, John K., 1823-1907.","Ingram, John Kells, 1823-1907",Outlines Of The History Of Religion.,,Black,London,Swarthmore Peace Collection,BL80.I54.,,,,,
1915,,,"The Overthrow Of The War System / [contributions By] Jane Addams... [and Others] Lucia Ames Mead, Editor.",,The Forum Publications,Boston,Swarthmore Peace Collection,JX1953.M57.,,"Mead, Lucia Ames 1856-1936",,,
1929,,,Pacifism In The Modern World / Edited By Devere Allen.,,"Doubleday, Doran & Co.","Garden City, N.Y.",Swarthmore Peace Collection,JX1937.A5.,,"Allen, Devere",,,
,,,Pax International.,,"Women's International League for Peace and Freedom, Section for the United States.","Washington, D.C.",Swarthmore Peace Collection,JX1901.P25 1925-1931.,,,,,
1922,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",Peace And Bread In Time Of War.,,The Macmillan Co.,New York,Swarthmore Peace Collection,JX1965.A3.,,,,,
1928,"Griscom, Anna Bassett, 1889-1974, compiler.","Griscom, Anna Bassett, 1889-1974, compiler.","Peace Crusaders; Adventures In Goodwill: A Book Of Recitations For Children, Stories - Poems - Essays / Compiled By Anna Bassett Griscom For The American Friends Service Committee, Philadelphia, Pennsylvania.",,J.B. Lippincott Co.,Philadelphia,Swarthmore Peace Collection,JX1955.G7.,,,,,
1912,"Moritzen, Julius.","Moritzen, Julius",The Peace Movement Of America.,,The Knickerbocker Press,New York,Swarthmore Peace Collection,JX1961.A3 M6.,"Inscription: To Miss Jane Addams with the compliments of the author. Boston, Jan 15 1915.",,,,
1915,"Gibbs, Jessie Wiseman.","Gibbs, Jessie Wiseman.",Peace Sonnets.,,The Author,"Villisca, Iowa.",Swarthmore Peace Collection,JX1964.5.G4.,,,,,
1920,"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967",The Peace Treaty And The Economic Chaos Of Europe.,,The Swarthmore Press,London,Swarthmore Peace Collection,HC57.A786.,,,,,
1915,"Lee, Vernon, 1856-1935.","Lee, Vernon, 1856-1935.",Peace With Honour: Controversial Notes On The Settlement.,,Union of Democratic Control,London,Swarthmore Peace Collection,D613.P13.,"Inscription: To Miss Jane Addams from Vernon Lee, grateful for the hope she lives and represents.",,,,
[1926],"Peat, David A.","Peat, David A.",Personal Service For Peace!: A Practical Proposal For Men Of Goodwill.,,""Arbitrate First" Bureau""Arbitrate First" Bureau""rbitrat",[London,Swarthmore Peace Collection,JX1971.P36.,,,,,
1901,"Towne, Charles Arnette, b. 1858.","Towne, Charles Arnette, b. 1858.","Philippine Independence: Speech Of Hon. Charles A. Towne, Of Minnesota, In The Senate Of The United States... January 28, 1901.",,Govt. Print. Office,Washington,Swarthmore Peace Collection,DS681.5.U5 T6.,,,,,
1903,"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938",Pipin: Ein Sommererlebnis.,,Seemann,Leipzig,Swarthmore Peace Collection,PT2625.B1 P6.,,,,,
1925,"ClaparÃ¨de-Spir, HÃ©lÃ¨ne, compiler.","ClaparÃ¨de-Spir, HÃ©lÃ¨ne, compiler.","Pour L'entente Des Peuples: Voix De France, D'allemagne Et D'angleterre.",,Presses Universitaires de France,Paris,Swarthmore Peace Collection,JX1937.C5.,"Inscription: A la [indecipherable] l'ideal international Jane Addams, hommage affectueux [indecipherable] H.C.S.",,,,
[1926],"Anson, Harold, b. 1867.","Anson, Harold, b. 1867.",A Practical Faith / By Harold Anson; With A Preface By The Rev. H.R. L. Sheppard.,,The Century Co.,New York ; London,Swarthmore Peace Collection,BR125.A53.,,,,,
,"Fisher, Walter Lowrie, 1862-1935.","Fisher, Walter L. (Walter Lowrie), 1862-1935",Preparations For Peace.,,,"[Chicago, c1915].",Swarthmore Peace Collection,D619.F5.,,,,,
1929,Academy of Political Science (U.S.).,Academy of Political Science (U.S.).,"The Preservation Of Peace: A Series Of Addresses And Papers Presented At The Annual Meeting Of The Academy Of Political Science In The City Of New York, November 23, 1928 / Edited By Parker Thomas Moon.",,"The Academy of Political Science, Columbia University",[New York],Swarthmore Peace Collection,JX1937.A3.,,,,,
1903,"Mead, Edwin D., 1849-1937.","Mead, Edwin D. (Edwin Doak), 1849-1937","The Principles Of The Founders / By Edwin D. Mead; Oration Before The City Government And Citizens Of Boston At Faneuil Hall, July 4, 1903.",,American Unitarian Association,Boston,Swarthmore Peace Collection,JX1953.M47.,,,,,
1916,"Mlynarski, Feliks John, b. 1884.","Mlynarski, Feliks John, b. 1884.",The Problems Of The Coming Peace.,,Polish Book Importing Co.,New York,Swarthmore Peace Collection,D610.M9.,,,,,
1913,American Society for Judicial Settlement of International Disputes.,American Society for Judicial Settlement of International Disputes.,Proceedings Of Fourth National Conference.,,,"Baltimore, Md.",Swarthmore Peace Collection,JX1932.A6. Vol. 4 (1913).,,,,,
[1925],Pan-Pacific Food Conservation Conference (1st: 1924: Honolulu).,Pan-Pacific Food Conservation Conference (1st: 1924: Honolulu).,"Proceedings Of The First Pan-pacific Food Conservation Conference: Held Under The Auspices Of The Pan-pacific Union. Honolulu, Hawaii, July 31 To August 14, 1924 / Publication Committee: H.P. Agee, O.H. Swezey, F.G. Krauss.",,,[Honolulu],Swarthmore Peace Collection,TX345.P2.,,,,,
1927,,,"Professional Patriots / Edited By Norman Hapgood; Material Assembled By Sidney Howard And John Hearley, And Exposure Of The Personalities, Methods And Objectives Involved In The Organized Effort To Exploit Patriotic Impulses In These United States During And After The Late War.",,A. & C. Boni,New York,Swarthmore Peace Collection,D639.P7 A5.,,"Hapgood, Norman, 1868-1937",,,
1927,"Boeckel, Florence Brewer, b. 1885.","Boeckel, Florence Brewer",Progress Of The Centuries Toward World Organization.,,National Council for Prevention of War,"Washington, D.C.",Swarthmore Peace Collection,JX1953.B54.,,,,,
